"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","Error","PctError","AbsPctError"
"06","027","050","Inyo County",19016,18062,-954,-5.01682793437106,5.01682793437106
"06","029","050","Kern County",909235,901373,-7862,-0.864682947752781,0.864682947752781
"06","031","050","Kings County",152486,152804,318,0.208543735162572,0.208543735162572
"06","033","050","Lake County",68163,64521,-3642,-5.34307468861406,5.34307468861406
"06","035","050","Lassen County",32730,30193,-2537,-7.75129850290254,7.75129850290254
"06","037","050","Los Angeles County",10014009,9968969,-45040,-0.449769917322822,0.449769917322822
"06","039","050","Madera County",156255,157606,1351,0.864612332405363,0.864612332405363
"06","041","050","Marin County",262321,257948,-4373,-1.66704152545927,1.66704152545927
"06","043","050","Mariposa County",17131,17182,51,0.297705913256669,0.297705913256669
"06","045","050","Mendocino County",91601,86349,-5252,-5.73356186067838,5.73356186067838
"06","047","050","Merced County",281202,278938,-2264,-0.805115184102531,0.805115184102531
"06","049","050","Modoc County",8700,8798,98,1.1264367816092,1.1264367816092
"06","051","050","Mono County",13195,14512,1317,9.98105342932929,9.98105342932929
"06","053","050","Monterey County",439035,431854,-7181,-1.63563269443211,1.63563269443211
"06","055","050","Napa County",138019,136493,-1526,-1.10564487498098,1.10564487498098
"06","057","050","Nevada County",102241,99675,-2566,-2.50975635997301,2.50975635997301
"06","059","050","Orange County",3186989,3170769,-16220,-0.508944335860588,0.508944335860588
"06","061","050","Placer County",404739,402221,-2518,-0.622129322847564,0.622129322847564
"06","063","050","Plumas County",19790,18991,-799,-4.03739262253664,4.03739262253664
"06","065","050","Riverside County",2418185,2485219,67034,2.77207905929447,2.77207905929447
"06","067","050","Sacramento County",1585055,1558550,-26505,-1.6721817224008,1.6721817224008
"06","069","050","San Benito County",64209,63808,-401,-0.624523041941161,0.624523041941161
"06","071","050","San Bernardino County",2181654,2187894,6240,0.286021523119615,0.286021523119615
"06","073","050","San Diego County",3298634,3334413,35779,1.08466110517263,1.08466110517263
"06","075","050","San Francisco County",873965,870561,-3404,-0.389489281607387,0.389489281607387
"06","077","050","San Joaquin County",779233,767048,-12185,-1.56371714236948,1.56371714236948
"06","079","050","San Luis Obispo County",282424,282577,153,0.054173866243662,0.054173866243662
"06","081","050","San Mateo County",764442,760706,-3736,-0.488722493007972,0.488722493007972
"06","083","050","Santa Barbara County",448229,445285,-2944,-0.656807123144643,0.656807123144643
"06","085","050","Santa Clara County",1936259,1913192,-23067,-1.19131789703753,1.19131789703753
"06","087","050","Santa Cruz County",270861,270819,-42,-0.0155061082990907,0.0155061082990907
"06","089","050","Shasta County",182155,179278,-2877,-1.57942411682358,1.57942411682358
"06","091","050","Sierra County",3236,2933,-303,-9.36341161928306,9.36341161928306
"06","093","050","Siskiyou County",44076,43381,-695,-1.57682185316272,1.57682185316272
"06","095","050","Solano County",453491,447406,-6085,-1.34181273718773,1.34181273718773
"06","097","050","Sonoma County",488863,490747,1884,0.385384044200522,0.385384044200522
"06","099","050","Stanislaus County",552878,550391,-2487,-0.449827990985353,0.449827990985353
"06","101","050","Sutter County",99633,96593,-3040,-3.05119789627935,3.05119789627935
"06","103","050","Tehama County",65829,64698,-1131,-1.71808777286606,1.71808777286606
"06","105","050","Trinity County",16112,12252,-3860,-23.9572989076465,23.9572989076465
"06","107","050","Tulare County",473117,468274,-4843,-1.02363685938151,1.02363685938151
"06","109","050","Tuolumne County",55620,54501,-1119,-2.01186623516721,2.01186623516721
"06","111","050","Ventura County",843843,842692,-1151,-0.136399780527894,0.136399780527894
