"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","HUBasedPop042020","Error","PctError","AbsPctError","Error_HUBasedPop","PctError_HUBasedPop","AbsPctError_HUBasedPop"
"30","079","050","Prairie County",1088,1073,1193,-15,-1.37867647058824,1.37867647058824,105,9.65073529411765,9.65073529411765
"30","081","050","Ravalli County",44174,44796,40799,622,1.40806809435415,1.40806809435415,-3375,-7.64024086566759,7.64024086566759
"30","083","050","Richland County",11491,11004,11342,-487,-4.23809938212514,4.23809938212514,-149,-1.29666695674876,1.29666695674876
"30","085","050","Roosevelt County",10794,10960,10630,166,1.5378914211599,1.5378914211599,-164,-1.51936260885677,1.51936260885677
"30","087","050","Rosebud County",8329,8854,9458,525,6.30327770440629,6.30327770440629,1129,13.5550486252851,13.5550486252851
"30","089","050","Sanders County",12400,12089,11563,-311,-2.50806451612903,2.50806451612903,-837,-6.75,6.75
"30","091","050","Sheridan County",3539,3266,3496,-273,-7.71404351511727,7.71404351511727,-43,-1.2150324950551,1.2150324950551
"30","093","050","Silver Bow County",35133,35090,35825,-43,-0.122392053055532,0.122392053055532,692,1.96965815614949,1.96965815614949
"30","095","050","Stillwater County",8963,9825,9249,862,9.61731563092714,9.61731563092714,286,3.19089590538882,3.19089590538882
"30","097","050","Sweet Grass County",3678,3680,3683,2,0.0543773790103317,0.0543773790103317,5,0.135943447525829,0.135943447525829
"30","099","050","Teton County",6226,6207,6134,-19,-0.305171859942178,0.305171859942178,-92,-1.4776742691937,1.4776742691937
"30","101","050","Toole County",4971,4676,5433,-295,-5.93441963387648,5.93441963387648,462,9.29390464695232,9.29390464695232
"30","103","050","Treasure County",762,700,731,-62,-8.13648293963255,8.13648293963255,-31,-4.06824146981627,4.06824146981627
"30","105","050","Valley County",7578,7345,7407,-233,-3.07468989179203,3.07468989179203,-171,-2.25653206650831,2.25653206650831
"30","107","050","Wheatland County",2069,2134,2192,65,3.14161430642823,3.14161430642823,123,5.94490091831803,5.94490091831803
"30","109","050","Wibaux County",937,939,1098,2,0.213447171824973,0.213447171824973,161,17.1824973319104,17.1824973319104
"30","111","050","Yellowstone County",164731,162587,172936,-2144,-1.30151580455409,1.30151580455409,8205,4.98084756360369,4.98084756360369
"31","001","050","Adams County",31205,31371,33075,166,0.531966031084762,0.531966031084762,1870,5.9926293863163,5.9926293863163
"31","003","050","Antelope County",6295,6282,6813,-13,-0.206513105639396,0.206513105639396,518,8.22875297855441,8.22875297855441
"31","005","050","Arthur County",434,471,458,37,8.52534562211982,8.52534562211982,24,5.52995391705069,5.52995391705069
"31","007","050","Banner County",674,789,688,115,17.0623145400593,17.0623145400593,14,2.07715133531157,2.07715133531157
"31","009","050","Blaine County",431,459,475,28,6.49651972157773,6.49651972157773,44,10.2088167053364,10.2088167053364
"31","011","050","Boone County",5379,5126,5472,-253,-4.70347648261759,4.70347648261759,93,1.72894590072504,1.72894590072504
"31","013","050","Box Butte County",10842,10749,11205,-93,-0.857775318206973,0.857775318206973,363,3.3480907581627,3.3480907581627
"31","015","050","Boyd County",1810,1871,2069,61,3.37016574585635,3.37016574585635,259,14.3093922651934,14.3093922651934
"31","017","050","Brown County",2903,2992,3108,89,3.06579400620048,3.06579400620048,205,7.06166035136066,7.06166035136066
"31","019","050","Buffalo County",50084,50120,50546,36,0.0718792428719751,0.0718792428719751,462,0.92245028352368,0.92245028352368
"31","021","050","Burt County",6722,6495,6858,-227,-3.3769711395418,3.3769711395418,136,2.02320737875632,2.02320737875632
"31","023","050","Butler County",8369,7991,8459,-378,-4.51666865814315,4.51666865814315,90,1.07539729955789,1.07539729955789
"31","025","050","Cass County",26598,26268,26769,-330,-1.24069478908189,1.24069478908189,171,0.642905481615159,0.642905481615159
"31","027","050","Cedar County",8380,8424,8897,44,0.525059665871122,0.525059665871122,517,6.16945107398568,6.16945107398568
"31","029","050","Chase County",3893,3860,4025,-33,-0.847675314667352,0.847675314667352,132,3.39070125866941,3.39070125866941
"31","031","050","Cherry County",5455,5794,5948,339,6.21448212648946,6.21448212648946,493,9.03758020164986,9.03758020164986
"31","033","050","Cheyenne County",9468,9115,10270,-353,-3.7283481199831,3.7283481199831,802,8.47063793831855,8.47063793831855
"31","035","050","Clay County",6104,6228,6596,124,2.03145478374836,2.03145478374836,492,8.06028833551769,8.06028833551769
"31","037","050","Colfax County",10582,10646,10905,64,0.604800604800605,0.604800604800605,323,3.05235305235305,3.05235305235305
"31","039","050","Cuming County",9013,8820,9285,-193,-2.14135138133807,2.14135138133807,272,3.01786308665261,3.01786308665261
"31","041","050","Custer County",10545,10680,11123,135,1.28022759601707,1.28022759601707,578,5.48127074442864,5.48127074442864
"31","043","050","Dakota County",21582,20111,21788,-1471,-6.81586507274581,6.81586507274581,206,0.954499119636734,0.954499119636734
"31","045","050","Dawes County",8199,8410,9171,211,2.57348457128918,2.57348457128918,972,11.8551042810099,11.8551042810099
"31","047","050","Dawson County",24111,23544,24919,-567,-2.35162374020157,2.35162374020157,808,3.351167516901,3.351167516901
"31","049","050","Deuel County",1838,1804,1895,-34,-1.84983677910773,1.84983677910773,57,3.10119695321001,3.10119695321001
"31","051","050","Dixon County",5606,5607,6063,1,0.0178380306814128,0.0178380306814128,457,8.15198002140564,8.15198002140564
"31","053","050","Dodge County",37167,36321,37552,-846,-2.2762127693922,2.2762127693922,385,1.03586514919149,1.03586514919149
"31","055","050","Douglas County",584526,573764,567823,-10762,-1.84114992318562,1.84114992318562,-16703,-2.85752900640861,2.85752900640861
"31","057","050","Dundy County",1654,1675,1997,21,1.26964933494559,1.26964933494559,343,20.7376058041112,20.7376058041112
"31","059","050","Fillmore County",5551,5521,5932,-30,-0.540443163393983,0.540443163393983,381,6.86362817510359,6.86362817510359
"31","061","050","Franklin County",2889,2953,3192,64,2.21529941156109,2.21529941156109,303,10.4880581516096,10.4880581516096
"31","063","050","Frontier County",2519,2601,2770,82,3.25526002381898,3.25526002381898,251,9.96427153632394,9.96427153632394
"31","065","050","Furnas County",4636,4666,4939,30,0.647109577221743,0.647109577221743,303,6.5358067299396,6.5358067299396
